,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
120,2018-07-03,600779.XSHG,-3.33,-645.7179,-1.0299,-3354.5109,-5.3506,2708.793,4.3206,-2267.1987,-3.6163,2912.9166,4.6462
121,2018-07-04,600779.XSHG,0.67,-2667.5638,-5.9865,-215.1198,-0.4828,-2452.444,-5.5038,75.3471,0.1691,2592.2168,5.8174
122,2018-07-05,600779.XSHG,0.99,1614.8393,3.9312,-178.843,-0.4354,1793.6823,4.3666,-3474.5258,-8.4584,1859.6864,4.5273
123,2018-07-06,600779.XSHG,2.78,-48.8994,-0.1541,633.9554,1.9978,-682.8548,-2.1519,-495.9572,-1.5629,544.8566,1.717
124,2018-07-09,600779.XSHG,0.27,1639.2169,4.2448,2664.4095,6.8995,-1025.1926,-2.6548,-3676.3959,-9.5201,2037.179,5.2753
125,2018-07-10,600779.XSHG,-0.47,-1402.3202,-5.8616,-282.5644,-1.1811,-1119.7558,-4.6805,320.7525,1.3407,1081.5677,4.5209
126,2018-07-11,600779.XSHG,4.0,191.5184,0.3025,-549.2902,-0.8675,740.8086,1.17,-28.8221,-0.0455,-162.6963,-0.257
127,2018-07-12,600779.XSHG,-0.37,3476.4576,6.3359,2046.5405,3.7298,1429.9171,2.606,-2843.989,-5.1832,-632.4685,-1.1527
128,2018-07-13,600779.XSHG,-0.6,-2277.4255,-5.9965,-1613.5244,-4.2484,-663.9011,-1.7481,1153.2611,3.0366,1124.1645,2.9599
129,2018-07-16,600779.XSHG,0.55,-164.8017,-0.8344,-36.4706,-0.1847,-128.3311,-0.6498,-343.5494,-1.7394,508.351,2.5738
130,2018-07-17,600779.XSHG,0.23,-1839.4677,-6.977,-1039.5831,-3.9431,-799.8846,-3.0339,-161.3754,-0.6121,2000.8432,7.5891
131,2018-07-18,600779.XSHG,-0.76,-287.3832,-1.6973,-36.4665,-0.2154,-250.9167,-1.4819,37.0663,0.2189,250.3171,1.4784
132,2018-07-19,600779.XSHG,-0.41,76.19,0.4553,125.6525,0.7509,-49.4625,-0.2956,-94.2014,-0.5629,18.0115,0.1076
133,2018-07-20,600779.XSHG,-0.05,1291.1303,7.3631,333.7753,1.9035,957.355,5.4597,-497.0059,-2.8344,-794.1244,-4.5288
134,2018-07-23,600779.XSHG,-1.9,-2465.7826,-9.3995,-1366.3651,-5.2085,-1099.4175,-4.191,1139.2472,4.3428,1326.5353,5.0567
135,2018-07-24,600779.XSHG,0.26,-737.3323,-2.4438,-145.3213,-0.4817,-592.011,-1.9622,-1140.7721,-3.781,1878.1044,6.2248
136,2018-07-25,600779.XSHG,-1.24,1055.6709,2.5173,-2509.3234,-5.9835,3564.9943,8.5008,-2265.7271,-5.4027,1210.0561,2.8854
137,2018-07-26,600779.XSHG,-0.52,509.3845,1.7628,84.7869,0.2934,424.5976,1.4694,-423.9602,-1.4672,-85.4242,-0.2956
138,2018-07-27,600779.XSHG,2.15,2246.7476,6.8765,578.1569,1.7695,1668.5907,5.1069,585.2057,1.7911,-2831.9533,-8.6676
139,2018-07-30,600779.XSHG,-0.45,2616.1216,8.5949,653.9161,2.1483,1962.2055,6.4465,-733.8037,-2.4108,-1882.3178,-6.1841
140,2018-07-31,600779.XSHG,-0.2,1106.0969,5.4345,-583.787,-2.8683,1689.8839,8.3027,-734.0245,-3.6064,-372.0725,-1.8281
141,2018-08-01,600779.XSHG,-0.6,2957.212,11.0653,727.7336,2.723,2229.4784,8.3422,-1169.0532,-4.3743,-1788.1588,-6.6909
142,2018-08-02,600779.XSHG,-1.58,1259.3505,3.4827,-489.1941,-1.3529,1748.5446,4.8356,1114.6597,3.0826,-2374.0103,-6.5653
143,2018-08-03,600779.XSHG,-1.53,1650.043,5.3579,-2107.2371,-6.8425,3757.2801,12.2004,-977.8859,-3.1753,-672.1571,-2.1826
144,2018-08-06,600779.XSHG,-2.28,-790.2714,-2.3065,-271.8027,-0.7933,-518.4687,-1.5132,515.0855,1.5033,275.1858,0.8031
